0 8246.75 0 1747929043
101 R 7.99829e+06 0 1747859400
102 D 275 0 1747859400
103 E 325.6 0 1747859400
104 R 2200 0 1747859400
105 D 308.8 0 1747859400
106 E 500.75 0 1747859400
107 R 1400 0 1747859400
108 D 800.5 0 1747859400
109 E 600.25 0 1747859400
110 R 1898.25 0 1747859400
111 D 200.4 0 1747859400
112 E 450.5 0 1747859400
113 R 3000.9 0 1747859400
114 D 372.5 0 1747859400
115 E 500 0 1747859400
116 R 2200.1 0 1747859400
117 D 999.99 0 1747859400
118 E 720.75 0 1747859400
119 R 1200 0 1747859400
